mscn_sol,GSFC
region_name,Greenland Ice Sheet
region_tag,100
region_area,2451975.3
mascon_ids,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198
Solution,GSFC RL06v01 Mascons
Citation,"Luthcke, S.B., T.J. Sabaka, B.D. Loomis, et al., 2013, Antarctica, Greenland and Gulf of Alaska land ice evolution from an iterated GRACE global mascon solution, J. Glac. 59(216), 613-631, doi:10.3189/2013JoG12J147."
Data Portal,https://ccar.colorado.edu/grace/

year,cmwe
2002.295,46.417
2002.358,48.06
2002.626,35.256
2002.709,32.233
2002.793,34.161
2002.876,37.152
2002.96,36.901
2003.045,40.443
2003.125,38.696
2003.207,42.645
2003.289,43.726
2003.36,43.784
2003.541,34.841
2003.626,28.67
2003.708,26.297
2003.793,27.396
2003.875,28.18
2003.96,29.241
2004.02,29.999
2004.13,29.389
2004.209,30.165
2004.291,31.409
2004.376,32.14
2004.458,30.729
2004.543,25.65
2004.628,20.202
2004.71,17.744
2004.795,18.182
2004.877,19.129
2004.962,21.288
2005.047,20.887
2005.126,22.639
2005.208,24.653
2005.29,25.931
2005.375,26.34
2005.457,24.136
2005.542,17.618
2005.627,8.93
2005.709,5.756
2005.794,6.547
2005.876,6.72
2005.961,8.778
2006.046,9.109
2006.125,11.131
2006.208,12.465
2006.29,11.851
2006.375,11.315
2006.457,11.037
2006.542,7.287
2006.626,1.615
2006.709,-1.392
2006.793,-1.112
2006.876,-0.434
2006.96,-0.917
2007.045,-0.155
2007.125,2.845
2007.207,1.908
2007.289,3.03
2007.374,3.43
2007.456,2.246
2007.541,-5.486
2007.626,-13.394
2007.708,-15.725
2007.793,-16.7
2007.875,-15.324
2007.96,-13.232
2008.045,-11.211
2008.127,-10.212
2008.209,-8.242
2008.291,-8.308
2008.376,-9.059
2008.458,-11.077
2008.543,-18.374
2008.628,-25.35
2008.71,-27.582
2008.795,-26.228
2008.877,-24.79
2008.962,-21.834
2009.047,-19.213
2009.126,-19.309
2009.208,-19.842
2009.29,-19.515
2009.375,-18.522
2009.457,-19.494
2009.542,-23.944
2009.627,-33
2009.709,-35.096
2009.794,-34.023
2009.876,-33.716
2009.961,-32.454
2010.046,-30.354
2010.125,-29.884
2010.208,-28.335
2010.29,-29.515
2010.375,-27.947
2010.457,-31.722
2010.542,-39.606
2010.626,-48.714
2010.709,-53.01
2010.793,-50.802
2010.876,-50.182
2010.955,-49.015
2011.136,-46.936
2011.207,-46.947
2011.289,-46.072
2011.374,-46.096
2011.546,-56.87
2011.626,-63.906
2011.708,-66.623
2011.782,-67.742
2011.845,-67.552
2011.982,-66.091
2012.05,-65.366
2012.127,-65.652
2012.201,-62.347
2012.266,-60.983
2012.458,-62.885
2012.543,-72.602
2012.628,-85.815
2012.704,-90.13
2012.885,-84.645
2012.962,-84.485
2013.047,-83.819
2013.123,-83.668
2013.304,-81.259
2013.375,-80.096
2013.457,-80.326
2013.542,-86.8
2013.794,-89.07
2013.876,-89.811
2013.961,-88.186
2014.024,-86.564
2014.21,-83.253
2014.29,-83.446
2014.375,-83.222
2014.449,-86.111
2014.626,-100.177
2014.709,-103.775
2014.793,-100.883
2014.876,-98.575
2015.062,-96.711
2015.125,-94.599
2015.207,-92.908
2015.278,-93.313
2015.333,-94.129
2015.538,-101.773
2015.626,-108.803
2015.705,-110.975
2015.976,-105.122
2016.045,-103.37
2016.121,-102.823
2016.209,-103.212
2016.384,-102.406
2016.458,-103.981
2016.54,-112.923
2016.642,-122.506
2016.91,-114.356
2016.984,-119.67
2017.058,-114.92
2017.247,-113.626
2017.315,-111.929
2017.37,-113.154
2017.444,-115.955
2018.457,-116.803
2018.522,-121.692
2018.835,-124.452
2018.889,-125.286
2018.96,-125.037
2019.037,-124.137
2019.117,-125.701
2019.207,-125.321
2019.289,-123.131
2019.374,-124.412
2019.456,-128
2019.541,-136.532
2019.626,-144.343
2019.708,-147.844
2019.793,-147.513
2019.875,-147.212
2019.96,-144.585
2020.045,-144.691
2020.127,-142.065
2020.209,-144.974
2020.291,-144.986
2020.376,-141.892
2020.458,-144.905
2020.543,-151.439
2020.628,-155.81
2020.71,-157.545
2020.795,-154.947
2020.877,-155.86
2020.962,-153.558
2021.047,-152.427
